3/29/2015 18:14:17	582244401751027712	shafaatnabi	O Lord forgive our sins and accept our repentance #kashmirFloods	medico l fundamentalist l humanitarian l tales of terror & injustice | media analyst | evergreen	156	1	0
3/29/2015 19:33:58	582264456064868352	_nitinyadav_	Jammu n Kashmir #Flood Warning. Please god take care of all people there All is Well #kashmirFloods #Kashmir #jammu #ExposingKumarVishwas	an engineer & environmentalist. tweet about what matters india internally & globally. i prefer appreciating actions rather than personalities. rts = endorsement	195	1	0
3/30/2015 3:26:41	582383415728611329	MahimaSharmaS	Flood Alert in the Kashmir Valley, where are the separatists now? Not worried about their "brethren" ? #JKFloodAlert #KashmirFloods	associate news editor @cnn-ibn; rts not endorsements; tweets personal.	872	1	0
3/30/2015 4:10:42	582394494827429889	ani30oct	Who made kashir the heaven? they r Kashmiri Pandits, Muslims made it Hell. #SaveKashmiriPandits #kashmirFloods #Kashmir	it consultant | bjp social media | politics | #namo | mission super power india | development of all.	1939	1	1
3/30/2015 5:05:30	582408287217328128	bhatia1965	@DrJwalaG #kashmirFloods Request to army not to save separatists this time		164	1	1
3/30/2015 5:23:00	582412688296263682	aurfe	1/2 Extremists were abuzz on social media of changing #Kashmir into what they call #satisar before May last year. #kashmirFloods	mumbai based sports journalist. born and brought up in kashmir. views expressed are purely personal. retweets aren't endorsements.	374	1	0
3/30/2015 5:36:20	582416045752872961	TTMobile_in	TT INDIA 10:36 1.#ExposingKumarVishwas 2.#SRK12Million 3.#WyattvsTaker 4.#WrestleMania 5.#kashmirFloods 6.Seth Rollins 7.Brock 8.Wyatt	utility to discover india tt on mobile (recommended if you use twitter on your smartphone)	2274	1	0
3/30/2015 5:54:19	582420572082212864	KejriBai	Kashmiri Muslims will live cursed/painful/wretched/mournful life till eternity for killing Kashmiri Brahmans. #fBrahmanCurses #kashmirFloods	पता : खोली नंबर 49, नक्सली गली, रेड लाईट एरिया, जी. बी. रोड, लाहोरी गेट, आपिस्तान (दिल्ली) फोन : 4969496949	2501	1	1
3/30/2015 5:54:51	582420703128891392	KejriBai	Kashmiri Muslims will live cursed/painful/wretched/mournful life till eternity for killing Kashmiri Brahmans. @Swamy39 #kashmirFloods	पता : खोली नंबर 49, नक्सली गली, रेड लाईट एरिया, जी. बी. रोड, लाहोरी गेट, आपिस्तान (दिल्ली) फोन : 4969496949	2501	1	1
3/30/2015 5:55:41	582420914467258368	KejriBai	Kashmiri Muslims will live cursed/painful/wretched/mournful life till eternity for killing Kashmiri Brahmans #BrahmaHatyaDosh #kashmirFloods	पता : खोली नंबर 49, नक्सली गली, रेड लाईट एरिया, जी. बी. रोड, लाहोरी गेट, आपिस्तान (दिल्ली) फोन : 4969496949	2501	1	1
3/30/2015 5:56:20	582421079727149056	TTMobile_in	TT INDIA 10:56 1.#ExposingKumarVishwas 2.#SRK12Million 3.#WyattvsTaker 4.#WrestleMania 5.#kashmirFloods 6.Seth Rollins 7.Acer One S1001	utility to discover india tt on mobile (recommended if you use twitter on your smartphone)	2274	1	0
3/30/2015 6:00:14	582422058853773313	TrendieIN	Trending India:11:30 AM IST 1. #ExposingKumarVishwas 2. #SRK12Million 3. #WyattvsTaker 4. #WrestleMania 5. #kashmirFloods 6. Seth Rollins	we deliver trends - india. follow to stay updated with latest trends.	12785	1	0
3/30/2015 6:06:59	582423756187914240	KejriBai	Cursed/wretched/mournful life of Kashmiri Muslims due to terror,bloodshed,flood,war is an effect of killing Kashmiri Brahmans #kashmirFloods	पता : खोली नंबर 49, नक्सली गली, रेड लाईट एरिया, जी. बी. रोड, लाहोरी गेट, आपिस्तान (दिल्ली) फोन : 4969496949	2501	1	1
