RT @minditIsay: #SoulVultures #Xtians good business. Gwad Gwad and convert. What is the current market price. #NepalEarthquake	1
RT @AgentSaffron: Another Psychopath Christian predator who brazenly states his foul intentions. #NepalEarthquake http://t.co/HyTYrsEhov	45
RT @muns2177: Compare Kashmir Floods &amp; #NepalEarthquake coverage by usual #Presstitutes 2200 have died,guess Hindu lives dont count http://	27
RT @OmegaProgramme: Jesus gave 6 signs in Matt 24: wars; ethnic conflict; earthquakes; pestilence; famine; cults. No birth pains - no baby.	1
RT @odradesh: Xn #SoulVultures feel happy that they get so many corpses 2 feed on &amp; they even think they are doing a service 2 mankind . #N	1
RT @rohitzstriver: Convert everybody to christianity you bastards #SoulVultures .I want to ask,what will you achieve after this ?? #NepalEa	1
RT @ranganaathan: #NepalEarthquake is sad, but more avoidable topics are Evangelist Factory getting into Nepal for rehabilitation	2
RT @RamraoKP_: Shame on u for having such thoughts https://t.co/frl5qiMZre Hindus from Nepal plz save Hindus from #SoulVultures #NepalEarth	2
RT @noconversion: Xtian Missionaries plan to use Earthquake in Nepal as conversion oppt. Hindus Please Support Nepal #NepalEarthquake http:	91
RT @kan_rebel: @ExSecular @YesIamSaffron Another #SoulVultures #NepalEarthquake https://t.co/cYXFAe58U9	1
RT @Sonu_Bhaskar: Hats off to 25k @RSSorg volunteers who are selflessly helping out the #NepalEarthQuake victims, unlike #SoulVultures htt	3
RT @NoPlusnet: Hayul #Hayul jsaditya: RT KiranKS: If you don't know why #SoulVultures is trending in India after #NepalEarthquake http://t	1
RT @vaz_paz: #SoulVultures is looking to repeat #Haiti in #NepalEarthquake	1
RT @activator_n: Do not donate to #Presstitutes for #NepalEarthquake Please support #PMRF. #Presstitutes will use it for anti national acti	7
RT @bishtmk: @taslimanasreen WTF!! Conversion before helping in #NepalEarthquake Vultures, Scavengers &amp; Christian Missionaries https://t.c	1
RT @RealZaidHamid_: Praise the lord #SoulVultures #NepalEarthquake #Nepal http://t.co/9YdkjCqW2x	8
RT @neha_jpn: Word of God against Pope. #SoulVultures #NepalEarthquake #IndiaWithNepal http://t.co/f2ycmryp0m	26
"RT @TPrasad_7: NRIs, plz donate to Hindu charities&gt; @sewausa,@SewaUK,@IDRF_U ""@India_Policy: Evangelical vultures. #NepalEarthquake http://"	1
RT @sharath1108: Beware of Human Trafficking in the name of Evangelisation , its their high time #NepalEarthquake :#SoulVultures #earthqua	1
RT @Greyhound212: If any church got destroyed in #NepalEarthquake , expect #Presstitutes to call it a communal earthquake and blame it on M	1
RT @roessejh: ...earthquakes happen because of tectonic plates, they are not a result of lack of jesus. Christians and science, smh  #Nepa	1
RT @EvilYindoo: Another Church bigot https://t.co/YXmRggmoMz #NepalEarthquake	4
RT @OurCofE: Day 4 of Christian Aid Week. Shocked by news of the 2nd earthquake in Nepal #CAWeek #Nepalearthquake http://t.co/OtiZPCoCmS	2
RT @kush07: Lets be preemptive and nip a fresh #Presstitutes Hit Job on the new #NepalEarthquake Lets trend #NoPresstitutes4Nepal	4
RT @desi_brat: Fuck these Missionaries who are scavenging frm whatever's left after the #NepalEarthquake Hav some shame &amp; humanity.	1
"RT @TPrasad_7: .@noconversion Evangelical vultures already preying on #NepalEarthquake victims. #Nepal #Everest ""@India_Policy: http://t"	1
RT @Adv_Onkaar: Xtian missionaries find opportunities to convert Hindus n Buddhists even at the time of #NepalEarthquake . Shame http://t.	1
RT @smitadeshmukh: Unbelievable idiots all these religious fanatics #Nepal #NepalEarthquake https://t.co/qCl9zypOPo	3
RT @kendentshering: Missionary position even in times of disaster ;) shame on you #SoulVultures #NepalEarthquake https://t.co/6vvyoJaIlC	1
RT @ensine: Muslims are happy that NO moslems died in #NepalEarthquake so hail allah. Disgusting cult #Muslims and #Islam http://t.co/iUh5t	13
"RT @TPrasad_7: .@AnjaliGorg So called ""Soul Rescuers"" needing their own rescue? What a shame!! #NepalEarthquake #SoulVultures https://t.co"	1
RT @AnjaliGorg: I really have a feeling that most of the whites stuck in #NepalEarthQuake are Christian missionaries went for #soulharvest	65
RT @bohra_p: #SoulVultures Deleting Tweet... Afraid ... lol #NepalEarthquake is chance 4 thm to convert poor n needy ppl. #Sad https://t.c	1
RT @himanshugo: don't donate 2 #SoulVultures @WorldVision . Donate to PM's relief fund &amp; http://t.co/8hJ1DG5T6X #NepalEarthquake	1
RT @__aksa: These Christian missionaries seeking to harvest Xtian souls in the wake of #NepalEarthquake tragedy give Christ a bad name.Feed	1
